Graph Size ,Order ,Vertex ,Madj                                   ,Edges in Madj                                                                      ,Size of Madj ,Vertex Connectivity
5x5        ,    1 , 10101 ,"{'10201', '10102'}"                   ,"{('10201', '10102')}"                                                             ,           2 ,                  2
5x5        ,    2 , 10105 ,"{'10205', '10104'}"                   ,"{('10205', '10104')}"                                                             ,           2 ,                  2
5x5        ,    3 , 10501 ,"{'10401', '10502'}"                   ,"{('10401', '10502')}"                                                             ,           2 ,                  2
5x5        ,    4 , 10505 ,"{'10405', '10504'}"                   ,"{('10405', '10504')}"                                                             ,           2 ,                  3
5x5        ,    5 , 10102 ,"{'10201', '10202', '10103'}"          ,"{('10201', '10103'), ('10202', '10103')}"                                         ,           3 ,                  3
5x5        ,    6 , 10104 ,"{'10205', '10103', '10204'}"          ,"{('10205', '10103'), ('10103', '10204')}"                                         ,           3 ,                  3
5x5        ,    7 , 10201 ,"{'10202', '10103', '10301'}"          ,"{('10202', '10301'), ('10103', '10301')}"                                         ,           3 ,                  3
5x5        ,    8 , 10205 ,"{'10305', '10204', '10103'}"          ,"{('10305', '10103'), ('10305', '10204')}"                                         ,           3 ,                  3
5x5        ,    9 , 10401 ,"{'10502', '10301', '10402'}"          ,"{('10502', '10301'), ('10301', '10402')}"                                         ,           3 ,                  3
5x5        ,   10 , 10405 ,"{'10404', '10305', '10504'}"          ,"{('10305', '10504'), ('10404', '10305')}"                                         ,           3 ,                  3
5x5        ,   11 , 10502 ,"{'10503', '10301', '10402'}"          ,"{('10503', '10301'), ('10503', '10402')}"                                         ,           3 ,                  3
5x5        ,   12 , 10504 ,"{'10404', '10305', '10503'}"          ,"{('10305', '10503'), ('10404', '10503')}"                                         ,           3 ,                  4
5x5        ,   13 , 10404 ,"{'10304', '10503', '10403', '10305'}" ,"{('10304', '10503'), ('10305', '10403'), ('10304', '10403')}"                     ,           4 ,                  4
5x5        ,   14 , 10402 ,"{'10403', '10503', '10301', '10302'}" ,"{('10503', '10302'), ('10403', '10302'), ('10403', '10301')}"                     ,           4 ,                  4
5x5        ,   15 , 10303 ,"{'10203', '10304', '10403', '10302'}" ,"{('10304', '10302'), ('10203', '10302'), ('10203', '10403'), ('10203', '10304')}" ,           4 ,                  4
5x5        ,   16 , 10204 ,"{'10203', '10304', '10305', '10103'}" ,"{('10203', '10305'), ('10304', '10103')}"                                         ,           4 ,                  4
5x6        ,    1 , 10101 ,"{'10201', '10102'}"                   ,"{('10201', '10102')}"                                                             ,           2 ,                  2
5x6        ,    2 , 10106 ,"{'10105', '10206'}"                   ,"{('10105', '10206')}"                                                             ,           2 ,                  2
5x6        ,    3 , 10501 ,"{'10401', '10502'}"                   ,"{('10401', '10502')}"                                                             ,           2 ,                  2
5x6        ,    4 , 10506 ,"{'10505', '10406'}"                   ,"{('10505', '10406')}"                                                             ,           2 ,                  3
5x6        ,    5 , 10102 ,"{'10201', '10202', '10103'}"          ,"{('10201', '10103'), ('10202', '10103')}"                                         ,           3 ,                  3
5x6        ,    6 , 10105 ,"{'10205', '10104', '10206'}"          ,"{('10205', '10104'), ('10104', '10206')}"                                         ,           3 ,                  3
5x6        ,    7 , 10201 ,"{'10202', '10103', '10301'}"          ,"{('10202', '10301'), ('10103', '10301')}"                                         ,           3 ,                  3
5x6        ,    8 , 10206 ,"{'10306', '10205', '10104'}"          ,"{('10306', '10104'), ('10306', '10205')}"                                         ,           3 ,                  3
5x6        ,    9 , 10401 ,"{'10502', '10301', '10402'}"          ,"{('10502', '10301'), ('10301', '10402')}"                                         ,           3 ,                  3
5x6        ,   10 , 10406 ,"{'10306', '10505', '10405'}"          ,"{('10306', '10505'), ('10306', '10405')}"                                         ,           3 ,                  3
5x6        ,   11 , 10502 ,"{'10503', '10301', '10402'}"          ,"{('10503', '10301'), ('10503', '10402')}"                                         ,           3 ,                  3
5x6        ,   12 , 10505 ,"{'10306', '10405', '10504'}"          ,"{('10405', '10504'), ('10306', '10504')}"                                         ,           3 ,                  4
5x6        ,   13 , 10503 ,"{'10403', '10301', '10402', '10504'}" ,"{('10402', '10504'), ('10301', '10504'), ('10403', '10504'), ('10403', '10301')}" ,           4 ,                  4
5x6        ,   14 , 10404 ,"{'10304', '10403', '10405', '10504'}" ,"{('10304', '10504'), ('10304', '10405'), ('10304', '10403'), ('10403', '10405')}" ,           4 ,                  4
5x6        ,   15 , 10402 ,"{'10403', '10301', '10302', '10504'}" ,"{('10302', '10504'), ('10403', '10302')}"                                         ,           4 ,                  4
